model_group,model_name,model_size,family,dataset,avg_tokens_saved_with_context,avg_tokens_saved_without_context,avg_percentage_saved_with_context,avg_percentage_saved_without_context,early_stopping_rate_with_context,early_stopping_rate_without_context,accuracy_dropped_with_context,abstention_increased_without_context
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,**Average**,,,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,**Average**,,,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,**Average**,,,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,**Average**,,,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,**Average**,,,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
